,ID,Count
0,18288,485.6342810425183
1,18289,387.5615633540201
2,18290,327.9964544587354
3,18291,271.0117523382537
4,18292,228.1114109417802
5,18293,204.19734012914103
6,18294,219.56758917905472
7,18295,254.64040902119262
8,18296,293.23431904433295
9,18297,378.92281023837563
10,18298,537.837895025071
11,18299,596.2638276853257
12,18300,602.5810777159472
13,18301,532.9359851652447
14,18302,569.8383910818253
15,18303,562.6408685059534
16,18304,548.2803438461804
17,18305,561.0529258753053
18,18306,574.8611226635485
19,18307,609.9857232436426
20,18308,586.1752139069148
21,18309,547.1325374881569
22,18310,549.1174657764669
23,18311,536.1377607955187
24,18312,370.2148896342124
25,18313,295.4508505774313
26,18314,250.04242066103717
27,18315,206.6011191921947
28,18316,173.8967863735341
29,18317,155.66630835291264
30,18318,167.38355171441648
31,18319,194.12070894133984
32,18320,223.54210833080896
33,18321,288.8652466443237
34,18322,410.01141130391244
35,18323,454.55140993242435
36,18324,459.36725616522665
37,18325,406.2745251560551
38,18326,434.4064356635172
39,18327,428.9195288900786
40,18328,417.9720314428343
41,18329,427.7089883069697
42,18330,438.2354281600891
43,18331,465.01205953646195
44,18332,446.86052981473836
45,18333,417.09702113004323
46,18334,418.61019685892916
47,18335,408.71534339699724
48,18336,364.6832942002496
49,18337,291.0363480229033
50,18338,246.3063918000905
51,18339,203.51417201752992
52,18340,171.29849360785124
53,18341,153.34040773514545
54,18342,164.8825769662134
55,18343,191.22023881633083
56,18344,220.20203600966897
57,18345,284.54914341858074
58,18346,403.8851929530452
59,18347,447.7596936236397
60,18348,452.5035835041237
61,18349,400.204141788954
62,18350,427.9157171017256
63,18351,422.5107933854366
64,18352,411.7268688483807
65,18353,421.31834019143514
66,18354,431.6874984001428
67,18355,458.06404459354303
68,18356,440.1837274074022
69,18357,410.8649325722813
70,18358,412.35549906478315
71,18359,402.6084903485983
72,18360,513.995012976065
73,18361,410.19491119436196
74,18362,347.1512379721413
75,18363,286.8386656327726
76,18364,241.43297169077624
77,18365,216.1223344119042
78,18366,232.3901961923703
79,18367,269.51124631916014
80,18368,310.35901604529346
81,18369,401.0516604126405
82,18370,569.2472846829925
83,18371,631.0852545054258
84,18372,637.7714279042475
85,18373,564.0591064172404
86,18374,603.1165892770229
87,18375,595.4987359783655
88,18376,580.2995658477114
89,18377,593.818058511995
90,18378,608.4326451760854
91,18379,645.6085000028659
92,18380,620.407472123974
93,18381,579.0847283312581
94,18382,581.1855751642212
95,18383,567.4478636999767
96,18384,507.6774650671749
97,18385,405.15317744591806
98,18386,342.88437832924114
99,18387,283.3131119474073
100,18388,238.465502499566
